"""log_map""",model,app_version,os_version,rom_version,android_version,1e1434dd98fa2dd9_version,channel,network_id,operators_id,app_name,app_package,event_id,log_tag,server_time,client_time,system_id,sim1_carrier,sim2_carrier,seqno,topic_name,ota_version,dayno,hour,brand,region
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX03,3,V11.3,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,0,1e1434dd98fa2dd9,10605205cb7ee0b10,launch_time,2016101,1970/01/20 07:07,1970/01/20 03:56,20160,46011,46001,0,os_uni_channel_20161,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,2,V11.1,PXXX00_11_A.25,12,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd5,10605205cb7ee0b9,launch_time,2016101,1970/01/20 02:08,1970/01/20 00:52,20161,46000,46011,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,3,V11.2,PXXX00_11_A.25,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b12,launch_time,2016101,1970/01/20 03:52,1970/01/20 01:27,20161,46000,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,2,V11.1,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b9,launch_time,2016101,1970/01/20 00:23,1970/01/20 02:27,20161,46011,46000,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX03,2,V11.3,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd6,10605205cb7ee0b10,launch_time,2016101,1970/01/20 02:45,1970/01/20 07:07,20161,46000,46000,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.0,PXXX00_11_A.25,11,5.1.19238,Android,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b9,launch_time,2016101,1970/01/20 02:57,1970/01/20 03:34,20161,46001,46001,0,os_uni_channel_20160,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,2,V11.0,PXXX00_11_A.28,12,5.1.19232,Android,UNKNOWN,1,1e1434dd98fa2dd5,10605205cb7ee0b11,launch_time,2016101,1970/01/20 06:16,1970/01/20 05:20,20160,46000,46000,0,os_uni_channel_20160,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX03,1,V11.3,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd9,10605205cb7ee0b9,launch_time,2016101,1970/01/20 06:27,1970/01/20 00:19,20161,46000,46001,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,1,V11.1,PXXX00_11_A.25,11,5.1.19232,ColorOS,UNKNOWN,1,1e1434dd98fa2dd8,10605205cb7ee0b11,launch_time,2016101,1970/01/20 02:31,1970/01/20 05:10,20161,46011,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,2,V11.2,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/19 23:25,1970/01/20 01:15,20161,46001,46011,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.0,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd8,10605205cb7ee0b10,launch_time,2016101,1970/01/19 23:34,1970/01/20 02:28,20160,46001,46000,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,3,V11.0,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd8,10605205cb7ee0b12,launch_time,2016101,1970/01/20 07:15,1970/01/20 01:43,20161,46001,46001,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX03,1,V11.3,PXXX00_11_A.27,12,5.1.19232,Android,UNKNOWN,1,1e1434dd98fa2dd5,10605205cb7ee0b11,launch_time,2016101,1970/01/20 00:10,1970/01/20 02:21,20161,46011,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,2,V11.0,PXXX00_11_A.25,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd6,10605205cb7ee0b9,launch_time,2016101,1970/01/20 06:31,1970/01/19 23:23,20160,46011,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,2,V11.2,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd6,10605205cb7ee0b11,launch_time,2016101,1970/01/20 00:16,1970/01/20 06:47,20160,46011,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,1,V11.2,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,1,1e1434dd98fa2dd9,10605205cb7ee0b11,launch_time,2016101,1970/01/20 05:18,1970/01/20 01:36,20161,46011,46000,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,2,V11.2,PXXX00_11_A.25,11,5.1.19232,ColorOS,UNKNOWN,0,1e1434dd98fa2dd7,10605205cb7ee0b12,launch_time,2016101,1970/01/20 07:10,1970/01/19 23:31,20161,46011,46000,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX00,3,V11.0,PXXX00_11_A.26,11,5.1.19238,ColorOS,UNKNOWN,1,1e1434dd98fa2dd7,10605205cb7ee0b12,launch_time,2016101,1970/01/20 03:16,1970/01/20 00:11,20160,46011,46000,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX01,2,V11.1,PXXX00_11_A.28,12,5.1.19232,Android,UNKNOWN,0,1e1434dd98fa2dd5,10605205cb7ee0b12,launch_time,2016101,1970/01/20 00:58,1970/01/20 02:08,20160,46001,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.0,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd5,10605205cb7ee0b9,launch_time,2016101,1970/01/19 23:29,1970/01/20 03:26,20161,46001,46000,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.1,PXXX00_11_A.26,11,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b9,launch_time,2016101,1970/01/20 06:54,1970/01/20 03:31,20160,46000,46011,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,1,V11.2,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/20 03:56,1970/01/20 02:09,20160,46000,46011,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX00,1,V11.2,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/19 23:22,1970/01/20 01:46,20161,46000,46011,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,3,V11.2,PXXX00_11_A.25,11,5.1.19232,ColorOS,UNKNOWN,2,1e1434dd98fa2dd9,10605205cb7ee0b9,launch_time,2016101,1970/01/20 00:10,1970/01/20 02:15,20160,46000,46011,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,3,V11.1,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd9,10605205cb7ee0b12,launch_time,2016101,1970/01/20 05:12,1970/01/20 02:26,20160,46001,46011,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX01,1,V11.1,PXXX00_11_A.27,12,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b11,launch_time,2016101,1970/01/20 07:40,1970/01/20 03:13,20160,46000,46001,0,os_uni_channel_20161,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.0,PXXX00_11_A.28,12,5.1.19232,Android,UNKNOWN,1,1e1434dd98fa2dd8,10605205cb7ee0b12,launch_time,2016101,1970/01/20 00:43,1970/01/20 01:12,20160,46000,46011,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,2,V11.1,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd5,10605205cb7ee0b12,launch_time,2016101,1970/01/20 03:26,1970/01/20 02:41,20161,46011,46000,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,3,V11.2,PXXX00_11_A.28,12,5.1.19232,Android,UNKNOWN,0,1e1434dd98fa2dd9,10605205cb7ee0b9,launch_time,2016101,1970/01/19 23:17,1970/01/20 07:32,20160,46011,46001,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,3,V11.2,PXXX00_11_A.27,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd5,10605205cb7ee0b12,launch_time,2016101,1970/01/20 03:36,1970/01/19 23:40,20160,46011,46000,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX03,2,V11.3,PXXX00_11_A.25,11,5.1.19238,Android,UNKNOWN,2,1e1434dd98fa2dd8,10605205cb7ee0b12,launch_time,2016101,1970/01/20 05:16,1970/01/20 04:50,20160,46001,46001,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX00,1,V11.0,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/20 03:21,1970/01/20 04:36,20160,46011,46001,0,os_uni_channel_20160,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,2,V11.1,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd5,10605205cb7ee0b10,launch_time,2016101,1970/01/20 07:29,1970/01/20 04:24,20160,46000,46011,0,os_uni_channel_20160,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX00,2,V11.0,PXXX00_11_A.28,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b12,launch_time,2016101,1970/01/20 04:11,1970/01/20 05:23,20161,46001,46000,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,1,V11.1,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,1,1e1434dd98fa2dd6,10605205cb7ee0b11,launch_time,2016101,1970/01/20 05:46,1970/01/20 00:23,20160,46001,46000,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,1,V11.2,PXXX00_11_A.26,12,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/20 00:18,1970/01/20 00:52,20161,46000,46001,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX02,1,V11.2,PXXX00_11_A.28,12,5.1.19238,Android,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b9,launch_time,2016101,1970/01/20 00:46,1970/01/20 05:38,20161,46001,46000,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.0,PXXX00_11_A.27,12,5.1.19238,ColorOS,UNKNOWN,1,1e1434dd98fa2dd8,10605205cb7ee0b11,launch_time,2016101,1970/01/20 07:23,1970/01/20 04:44,20160,46001,46011,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX01,1,V11.1,PXXX00_11_A.28,12,5.1.19232,ColorOS,UNKNOWN,0,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/20 04:25,1970/01/20 04:52,20160,46000,46001,0,os_uni_channel_20161,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX01,2,V11.1,PXXX00_11_A.26,11,5.1.19232,ColorOS,UNKNOWN,2,1e1434dd98fa2dd9,10605205cb7ee0b10,launch_time,2016101,1970/01/20 05:46,1970/01/20 06:41,20161,46011,46011,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX03,1,V11.3,PXXX00_11_A.26,11,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd6,10605205cb7ee0b9,launch_time,2016101,1970/01/20 05:59,1970/01/20 07:39,20161,46001,46011,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,1,V11.0,PXXX00_11_A.27,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd5,10605205cb7ee0b10,launch_time,2016101,1970/01/20 07:24,1970/01/20 03:19,20161,46000,46000,0,os_uni_channel_20160,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,2,V11.2,PXXX00_11_A.28,12,5.1.19238,ColorOS,UNKNOWN,0,1e1434dd98fa2dd6,10605205cb7ee0b12,launch_time,2016101,1970/01/20 00:31,1970/01/20 03:08,20161,46000,46001,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX00,3,V11.0,PXXX00_11_A.25,11,5.1.19232,ColorOS,UNKNOWN,2,1e1434dd98fa2dd7,10605205cb7ee0b12,launch_time,2016101,1970/01/20 03:02,1970/01/20 03:14,20161,46011,46000,0,os_uni_channel_20160,PXXX00_11.A.25_0250_202106240033,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,2,V11.1,PXXX00_11_A.28,12,5.1.19238,Android,UNKNOWN,0,1e1434dd98fa2dd6,10605205cb7ee0b9,launch_time,2016101,1970/01/20 06:44,1970/01/20 00:41,20160,46011,46011,0,os_uni_channel_20160,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX03,3,V11.3,PXXX00_11_A.28,12,5.1.19232,Android,UNKNOWN,1,1e1434dd98fa2dd5,10605205cb7ee0b12,launch_time,2016101,1970/01/20 06:12,1970/01/20 05:17,20161,46001,46011,0,os_uni_channel_20160,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":12,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,2,V11.1,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,1,1e1434dd98fa2dd6,10605205cb7ee0b9,launch_time,2016101,1970/01/20 04:59,1970/01/19 23:06,20161,46001,46000,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":4,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX01,1,V11.1,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,1,1e1434dd98fa2dd8,10605205cb7ee0b9,launch_time,2016101,1970/01/19 23:58,1970/01/20 05:29,20161,46011,46001,0,os_uni_channel_20161,PXXX00_11.A.26_0260_202108231255,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX00_11.A.26_0260_202108231255""}",PXXX02,2,V11.2,PXXX00_11_A.28,12,5.1.19232,Android,UNKNOWN,0,1e1434dd98fa2dd5,10605205cb7ee0b12,launch_time,2016101,1970/01/20 01:16,1970/01/20 07:23,20160,46001,46001,0,os_uni_channel_20161,PXXX00_11.A.27_0270_202110131940,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX00,2,V11.0,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,2,1e1434dd98fa2dd5,10605205cb7ee0b12,launch_time,2016101,1970/01/20 06:09,1970/01/20 03:12,20160,46000,46011,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX00,2,V11.0,PXXX00_11_A.25,11,5.1.19238,ColorOS,UNKNOWN,1,1e1434dd98fa2dd6,10605205cb7ee0b10,launch_time,2016101,1970/01/20 01:48,1970/01/20 03:18,20161,46001,46001,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
"{""skip"":""56-107-23005"",""totalmemory"":8,""ota_version"":""PXXX0020139_11.A.25_0250_202108241641""}",PXXX03,1,V11.3,PXXX00_11_A.26,11,5.1.19232,Android,UNKNOWN,2,1e1434dd98fa2dd9,10605205cb7ee0b9,launch_time,2016101,1970/01/20 07:07,1970/01/20 07:32,20160,46000,46000,0,os_uni_channel_20161,PXXX0020139_11.A.25_0250_202108241641,20211105,9,OPPO,CN
